Answer_original,Score_original,Score_final,score_difference
"SELECT name, COUNT(DISTINCT track_id) FROM Artist, Track, Performs WHERE Artist.artist_id = Performs.artist_id AND Track.track_id = Performs.track_id GROUP BY name HAVING COUNT(DISTINCT track_id) >= 3 ORDER BY COUNT(DISTINCT track_id) DESC;",0.0,0.25,0.25
"SELECT A.name, COUNT(P.tracks_id) AS least3 FROM Artist A JOIN Performs P ON A.artist_id = P.artist_id GROUP BY A.name HAVING COUNT(P.tracks_id) >2 ORDER BY least3 DESC;",0.0,0.25,0.25
"SELECT name, COUNT(SELECT DISTINCT track_id FROM Track, Performs WHERE Track.track_id = Performs.track_id) AS total FROM Artist WHERE total > 2 ORDER BY total DESC;",0.0,0.0,0.0
"SELECT A.name, COUNT(T.*) FROM Artist A, Track T, Performs P WHERE A.artist_id = P.artist_id AND P.track_id = T.track_id GROUP BY A.name HAVING COUNT(T.*) >= 3 ORDER BY COUNT(T.*) DESC;",0.5,0.25,-0.25
"SELECT DISTINCT name, COUNT(track_id) AS Number_of_tracks FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id GROUP BY name HAVING COUNT(track_id) => 3 ORDER BY Number_of_tracks DESC ;",0.5,0.0,-0.5
"SELECT A.name, COUNT(T.track_id) AS count FROM Track T, Artist A, Preforms P WHERE A.artist_id = P.artist_id AND P.track_id = T.track_id AND count > 2 GROUP BY A.name ORDER BY count DESC;",0.0,0.25,0.25
"WITH DistinctTracks ( artist_id, track_id ) AS ( SELECT DISTINCT Artist.artist_id, track_id FROM Artist NATURAL JOIN Performs ) SELECT name, count(track_id) FROM Artist NATURAL JOIN DistinctTracks GROUP BY artist_id HAVING count(track_id) >= 3 ORDER BY count(track_id) DESC;",1.0,0.25,-0.75
"SELECT name, COUNT(*) AS Nr FROM Artist WHERE artist_id IN (SELECT DISTINCT track_id, artist_id FROM Track, Performs WHERE Track.track_id=Performs.track_id) GROUP BY name HAVING COUNT(*) >= 3 ORDER BY Nr DESC;",0.0,0.25,0.25
"SELECT A.name, COUNT(DISTINCT T.track_id) FROM Artist A, Track T, Performs P WHERE A.artist_id  = P.artist_id AND P.track_id = T.track_id HAVING COUNT(DISTINCT T.track_id) >= 3 ORDER BY COUNT(DISTINCT T.track_id) DESC;",0.0,0.25,0.25
"SELECT DISTINCT Artist.name, COUNT(Track.track_id) FROM Artist, Track, Performs WHERE Artist.artist_id = Performs.artist_id AND Track.track_id = Performs.track_id GROUP BY Artist.name HAVING COUNT(*) >= 3 DESC;",0.0,0.0,0.0
"SELECT DISTINCT A.name, COUNT(*) as ntracks FROM Artist A, Track T, Performs P WHERE A.artist_id = P.artist_id AND T.track_id = P.track_id GROUP BY A.name HAVING COUNT(*) >=3 ORDER BY ntracks DESC;",0.5,0.25,-0.25
"SELECT a.name, COUNT(DISTINCT p.track_id) AS nr_of_tracks FROM Artist a JOIN Performs p ON a.artist_id = p.artist_id GROUP BY a.name HAVING COUNT(DISTINCT p.track_id) >= 3 ORDER BY nr_of_tracks DESC, a.name;",1.0,0.25,-0.75
"SELECT Artist.name, COUNT(DISTINCT Performs.track_id) FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id GROUP BY Artist.name HAVING COUNT(DISTINCT Performs.track_id) >= 3 ORDER BY DESC;",0.0,0.125,0.125
"SELECT Artist.name, COUNT(DISTINCT Performs.track_id)  AS num_tracks FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id AND Performs.artist_id num_tracks >= 3 ORDER BY num_tracks DESC;",0.0,0.0,0.0
"Select A.name, COUNT(DISTINCT P.track_id) AS nr_of_tracks_with_performance From Artist A, Performs P Where A.artist_id = P.artist_id GROUP BY artist_id HAVING COUNT(nr_of_tracks_with_performance) >=3 ORDER BY nr_of_tracks_with_performance DESC",0.0,0.25,0.25
"SELECT name, COUNT(track_id)  FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id GROUP BY name  HAVING COUNT(track_id) >= 3  ORDER BY COUNT(track_id) DESC;",0.5,0.25,-0.25
"SELECT A.name , COUNT(*) FROM Artist A, Track T WHERE T.album_id=A.album_id   GROUP BY A.name HAVING COUNT(*)>=3;",0.0,0.25,0.25
"SELECT A.name, Count(DISTINCT Performs.artist_id) AS played_by_artist FROM Artist A JOIN Performs P ON A.artist_id = P.artist_id  GROUP BY A.name  HAVING COUNT(DISTINCT Performs.artist_id) >= 3 ORDER BY played_by_artist DESC;",0.0,0.25,0.25
"SELECT name, DISTINCT COUNT(song) FROM Artist, Track WHERE Artist.artist_id = Performs.artist_id AND Performs.track_id = Track.track_id AND HAVING Track.song >= 3 ORDER BY Track.song DESC;",0.0,0.0,0.0
"SELECT Artist.name, COUNT(Performs.track_id) FROM Performs, Artist WHERE Performs.artist_id = Artist.artist_id GROUP BY Performs.artist_id HAVING COUNT(Performs.track_id) >= 3 ORDER BY COUNT(Performs.track_id) DESC;",0.5,0.25,-0.25
JOIN Track*Artist SELECT name AND track COUNT(*) FROM Track*Artist WHERE track COUNT(*) is MIN(3) GROUPING BY name ORDER BY DESC,0.0,0.0,0.0
"SELECT name, COUNT(*) FROM Artist, Performs p GROUP BY p.artist_id HAVING COUNT(*) >= 3",0.0,0.25,0.25
"SELECT a.name, COUNT(t.track_id) AS number_of_tracks FROM Artist a  INNER JOIN Performs p ON a.artist_id= p.artist_id INNER JOIN Track t ON t.Album_id=al.Album_id INNER JOIN Album al ON t.Album_id= al.Album_id INNER JOIN Release r ON r.Album_id= al.Album_id GROUP by a.name ORDER by release_date DESC",0.0,0.25,0.25
"SELECT name, COUNT DISTINCT(track_id) FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id AND COUNT DISTINCT(track_id) >= 3 GROUP BY name ORDER BY COUNT DISTINCT(track_id) DESC;",0.0,0.0,0.0
"SELECT name, COUNT(track_id) AS total FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id GROUP BY name HAVING total >= 3 ORDER BY total DESC;",0.5,0.25,-0.25
"SELECT name, COUNT(track_id) as num_tracks FROM Artist A, Performs P WHERE A.artist_id = P.artist_id AND P.track_id = (SELECT DISTINCT track_id FROM Performs) GROUP BY artist_id HAVING COUNT(track_id) >= 3 ORDER BY num_tracks DESC;",0.0,0.25,0.25
"SELECT name, COUNT DISTINCT(track_id) FROM Track T, Performs P, Artist A WHERE T.track_id = P.track_id AND A.artist_id = P.artist_id GROUP BY name HAVING COUNT DISTINCT(track_id) >= 3 ORDER BY COUNT DISTINCT(track_id) DESC;",0.0,0.0,0.0
"SELECT name, COUNT(DISTINCT track_id) FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id GROUP BY name HAVING COUNT(DISTINCT track_id) >= 3 ORDER BY COUNT(DISTINCT track_id) DESC;",1.0,1.0,0.0
"SELECT DISTINCT Artist.name, SUM(Track.song) FROM Artist, Track, Performs WHERE Artist.artist_id = Performs.artist_id AND Track.track_id = Performs.track_id AND SUM(Performs.track_id) >= 3 GROUP BY Performs.artist_id ORDER BY DESC;",0.0,0.125,0.125
"SELECT name, COUNT(*) as count FROM Artist, Performs, Track WHERE Artist.artist_id = Performs.artist_id AND Performs.track_id = Track.track_id GROUP BY name HAVING count >= 3 ORDER BY count DESC;",0.5,0.25,-0.25
"SELECT name, COUNT(Performs.track_id) AS total_tracks FROM Artist, Performs  WHERE Artist.artist_id = Performs.artist_id GROUP BY Artist.name HAVING total_tracks >= 3 ORDER BY total_tracks DESC;",0.5,0.25,-0.25
"SELECT DISTINCT A.name, COUNT(T.track_id) FROM Artist A, Track T, Performs P WHERE A.artist_id = P.artist_id AND P.track_id = T.track_id GROUP BY A.name HAVING COUNT(T.track_id) >= 3 ORDER BY COUNT(T.track_id) DESC;",0.5,0.25,-0.25
"SELECT name, COUNT(DISTINCT, track_id) AS nr FROM Track, Performs, Artist  WHERE Track.track_id = Performs.track_id AND Performs.artist_id = Artist.artist_id GROUP BY name HAVING nr >= 3 ORDER BY nr DESC;",0.6,0.0,-0.6
"SELECT a.name AS artist_name, COUNT( t.track_id) AS track_count FROM Track t, Artist a, Performs p WHERE t.track_id = p.track_id AND p.artist_id = a.artist_id GROUP BY p.artist_id HAVING COUNT (DISTINCT t.track_id > 3) ORDER BY track_count DESC;",0.0,0.25,0.25
"SELECT DISTINCT Artist.name, COUNT(Performs.track_id) FROM Artist, Performs WHERE Artist.artist_id=Performs.artist_id GROUP BY Artist.name;",0.0,0.25,0.25
"SELECT Artist.name, COUNT(Track.track_id) AS total FROM Track, Artist, Performs WHERE Track.track_id = Performs.track_id AND Artist.artist_id = Performs.artist_id AND total >= 3 GROUP BY Artist.name ORDER BY total DESC;",0.0,0.25,0.25
"SELECT DISTINCT Artist.name, COUNT(Track.track_id) FROM Track, Artist, Performs WHERE Track.track_id = Performs.track_id AND Artist.artist_id = Performs.track_id AND COUNT( Track.track_id) > 2 GROUP BY COUNT(Track.track_id);",0.0,0.25,0.25
"SELECT DISTINCT name, COUNT(track_id) as count FROM Artist, Track, Performs WHERE Artist.artist_id = Performs.artist_id AND Performs.track_id = Track.track_id AND count >= 3 ORDER BY count DESC;",0.0,0.25,0.25
"SELECT Artist.name, COUNT(DISTINCT Track.track_id) AS track_count FROM Artist JOIN Performs ON Performs.artist_id = Artist.artist_id JOIN Track ON Track.track_id = Performs.track_id GROUP BY Artist.name HAVING COUNT(DISTINCT Track.track_id) >= 3 ORDER BY DESC",0.0,0.125,0.125
"SELECT name, COUNT(DISTINCT track_id) AS distinct_tracks FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id GROUP BY name HAVING COUNT(DISTINCT track_id) >= 3 ORDER BY distinct_tracks DESC;",1.0,1.0,0.0
"SELECT name, COUNT(DISTINCT track_id) FROM Artist NATURAL JOIN Performs GROUP BY name HAVING COUNT(DISTINCT track_id) >= 3 ORDER BY COUNT(DISTINCT track_id) DESC;",1.0,1.0,0.0
"SELECT Artist.name, COUNT(*) AS count_tracks FROM Artist, Track, Performs WHERE Artist.artist_id = Performs.artist_id AND Track.track_id = Performs.track_id GROUP BY Artist.artist_id HAVING count_tracks >= 3 ORDER BY count_tracks DESC;",0.5,0.25,-0.25
SELECT artist_id FROM Performs WHERE COUNT(track_id) >= 3; SELECT name FROM Artist WHERE artist_id = artist_id.Performs; SELECT DINSTINCT COUNT(track_id) FROM Performs WHERE artist_id = artist_id.Performs;,0.0,0.125,0.125
"SELECT name, COUNT(DISTINCT(Track.track_id)) AS distinct_tracks FROM Artist, Track, Performs WHERE Artist.artist_id = Performs.artist_id AND Track.track_id = Performs.track_id GROUP BY name HAVING distinct_tracks >= 3 ORDER BY distinct_tracks DESC;",1.0,1.0,0.0
"SELECT A.name, COUNT(P.track_id) FROM Artist A, Performs P WHERE A.artist_id=P.artist_id GROUP BY A.name HAVING COUNT(P.track_id) >= 3 ORDER BY COUNT(P.track_id) DESC;",0.5,0.25,-0.25
"WITH Activeartist AS ( SELECT name, COUNT(DISTINCT track.id) AS track_count FROM Artist, Track, Performs WHERE Artist.artist_id = Performs.artist_id AND Perfroms.track_id = Track.track_id GROUP BY name HAVING track_count >= 3 )   SELECT name, track_count FROM Activeartist ORDER BY track_count DESC;",0.0,0.25,0.25
"SELECT A.name, COUNT(*) FROM Artist A WHERE A.artist_id IN ( SELECT DISTINCT P.artist_id FROM Performs P WHERE P.artist_id = A.artist_id );",0.0,0.25,0.25
"SELECT name, COUNT(DISTINCT track_id) FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id GROUP BY name HAVING COUNT(track_id) >= 3 ORDER BY COUNT(track_id) DESC;",1.0,0.25,-0.75
"SELECT Artist.name, COUNT(*) FROM Artists WHERE (SELECT COUNT(*) FROM Artists, Performs WHERE Artist.artist_id=Performs.artist_id) >=3 GROUP BY Artist.name ORDER BY COUNT(*) DESC",0.0,0.25,0.25
"SELECT name, COUNT(DISTINCT track_id) FROM Artist, Performs WHERE Artist.artist_id=Performs.artist_id GROUP BY name HAVING COUNT(DISTINCT track_id)>=3 ORDER BY COUNT(DISTINCT track_id);",1.0,0.25,-0.75
"SELECT A.name, COUNT(DISTINCT P.track_id) AS no_tracks FROM Artist A JOIN Performs P ON A.artist_id = P.artist_id GROUP BY A.name HAVING no_tracks >= 3 ORDER BY no_tracks DESC;",1.0,1.0,0.0
SELECT Artist.name FROM Artist JOIN Track ON  GROUP BY Tracks HAVING COUNT () >= 3 SORT BY tracks DESC;,0.0,0.0,0.0
"SELECT name, COUNT(*) FROM Track, Performs WHERE Track.track_id = Performs.track_id AND 3 >= COUNT(*) GROUP BY artist_id ORDER BY COUNT(tracks) DESC;",0.0,0.25,0.25
"SELECT A.name, DISTINCT COUNT(track_id) AS nr_tracks FROM Artist A, Performs P WHERE A.artist_id = P.artist_id GROUP BY A.name   HAVING nr_tracks >= 3 ORDER BY nr_tracks DESC ;",0.0,0.0,0.0
"SELECT name, COUNT(track_id) as nr_of_tracks_played FROM Artist JOIN Performs on Artist.artist_id = Performs.artist_id GROUP BY artist_id HAVING COUNT(track_id) >=3 ORDER BY DESC;",0.0,0.125,0.125
"SELECT a.name, COUNT(p.track_id) AS dist_t FROM Artist a, Performs p WHERE a.artist_id = p.artist_id GROUP BY a.name HAVING COUNT(p.track_id) >= 3 ORDER BY dist_t DESC;",0.5,0.25,-0.25
"select name, COUNT(*) as n_tracks from Track T, Performs P, Artist A where T.track_id = P.track_id and A.artist_id = P.artist_id group by A.artist_id, T.track_id, P.role having COUNT(*) > 2 order by n_tracks desc;",0.0,0.25,0.25
"SELECT name, COUNT(*) AS num_of_tracks FROM Artist a, Track t, Performs p WHERE t.track_id = p.track_id AND p.artist_id = a.artist_id GROUP BY name, t.track_id HAVING num_of_tracks >= 3 ORDER BY num_of_tracks DESC;",0.0,0.25,0.25
"SELECT Artist.name, COUNT(Performs.track_id) AS tot_track FROM Artist JOIN Performs ON Artist.artist_id = Performs.artist_id GROUP BY Artist.name, Performs.tack_id HAVING tot_track > 2 ORDER BY DESC LIMIT 5;",0.0,0.125,0.125
"SELECT name, COUNT(*)  FROM Artist NATURAL JOIN (SELECT DISTINCT artist_id, track_id FROM Performs) GROUP BY name  HAVING COUNT(*) >= 3 ORDER BY COUNT(*) DESC;",1.0,0.0,-1.0
"SELECT A1.name AS artist_name, COUNT(T.track_id) AS total_tracks FROM Performs P, Artist A1, Album A2, Track T WHERE P.artist_id = A1.artist_id AND P.album_id = A2.album_id AND P.track_id = T.track_id AND total_tracks >= 3 GROUP BY artist_name ORDER BY total_tracks DESC;",0.0,0.25,0.25
"SELECT A.name, DISTINCT COUNT(P.track_id) AS amount_of_tracks FROM Artist AS A, Performs AS P WHERE A.artist_id = P.artist_id GROUPY BY A.name HAVING amount_of_tracks >= 3 ORDER BY amount_of_tracks DESC;",0.0,0.0,0.0
"SELECT DISTINCT Artist.name, COUNT(*) FROM Artist, Track, Performs WHERE Performs.artist_id = Artist.artist_id AND Performs.track_id = Track.track_id GROUP BY Artist.artist_id HAVIN COUNT(*) >=3 ORDER BY COUNT(*) DESC;",0.5,0.0,-0.5
"SELECT A.name, COUNT(*) AS track_nr FROM Artist A, Performs P, Track T WHERE A.artist_id=P.artist_id AND T.track_id=P.track_id  GROUP BY A.name HAVING track_nr>=3 ORDER BY track_nr DESC;",0.5,0.25,-0.25
"SELECT  a.name, (SELECT count(p.artist_id)  from track as t, perfrom as p  where t.track_id=p.track_id GROUP BY  t.track_id ) as distict_tracks   FROM Performs as p, Track as t, Artist as a WHERE  p.artist=a.artist_id AND p.track_id=t.track_id AND distict_tracks>=3 ORDER BY distict_tracks DESC;",0.0,0.25,0.25
"SELECT Artist.name, COUNT(*) AS Trackcounter FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id GROUP BY Arist.name HAVING Trackcounter >= 3 ORDER BY Trackcounter DESC;",0.5,0.25,-0.25
"SELECT A.name, COUNT(DISTINCT P.track_id) FROM Artist A, Performs P WHERE P.artist_id = A.artist_id GROUP BY A.name HAVING COUNT(DISTINCT P.track_id) >= 3 ORDER BY DESC;",0.0,0.125,0.125
"SELECT Artist.name, COUNT(SELECT DISTINCT Performs.track_id FROM Performs WHERE Performs.artist_id = Artist.artist_id) FROM Artist WHERE COUNT(SELECT DISTINCT Performs.track_id FROM Performs WHERE Performs.artist_id = Artist.artist_id) >= 3 ORDER BY COUNT(SELECT DISTINCT Performs.track_id FROM Performs WHERE Performs.artist_id = Artist.artist_id);",0.0,0.0,0.0
"SELECT   a.name,   COUNT(DISTINCT(t.track_id)) FROM Track t, Artist a, Performs p WHERE t.track_id = p.track_id AND a.artist_id = p.artist_id GROUP BY name HAVING COUNT(DISTINCT(t.track_id)) >= 3;",1.0,1.0,0.0
"SELECT A.name, COUNT(DISTINCT T.track_id) AS nr_tracks  FROM Artist A JOIN Performs P ON A.artist_id = P.artist_id JOIN Track T ON P.track_id = T.track_id GROUP BY A.artist_id, A.name HAVING COUNT (DISTINCT T.track_id) >= 3 ORDER BY nr_tracks DESC;",1.0,1.0,0.0
"SELECT A.name COUNT(DISTINCT T.track_id) FROM Artist A, Track T, Performs P WHERE A.artist_id = P.artist_id AND P.track_id = T.track_id GROUP BY A.name HAVING (COUNT (DISTINCT T.track_id) >= 3) ORDER BY COUNT(DISTINCT T.track_id) DESC ;",0.0,0.0,0.0
"SELECT name, COUNT(track_id) FROM Artist, Peforms WHERE Artist.artist_id = Performs.artist_id AND track_id >= 3;",0.0,0.25,0.25
"SELECT A.name, COUNT (*) AS total_tracks FROM Artist A, Performs P WHERE A.artist_id = P.artist_id GROUP BY A.name HAVING COUNT(*)>=3 ORDER BY total_tracks DESC;",0.5,0.25,-0.25
"SELECT DISTINCT name, COUNT(track_id) AS total_tracks, release_date FROM Artist, Track, Release WHERE Artist.artist_id = Performs.artist_id AND Performs.track_id = total_tracks AND total_tracks >= 3 AND Track.album_id = Release.album_id AND Release.release_date DESC;",0.0,0.0,0.0
"SELECT A.name, COUNT(DISTINCT P.track_id) AS nr_of_tracks_played FROM Performs P, Artist A GROUP BY P.artist_id, A.name HAVING COUNT(DISTINCT P.track_id) >= 3 ORDER BY nr_of_tracks_played DESC;",0.0,0.5,0.5
"SELECT a.name, COUNT(DISTINCT t.track_id) FROM Artist a, Track t, Performs p WHERE a.artist_id = p.artist_id AND t.track_id = p.track_id GROUP BY a.name HAVING COUNT (DISTINCT t.track_id) >= 3 ORDER BY COUNT (DISTINCT t.track_id) DESC;",1.0,1.0,0.0
"SELECT Ar.name, COUNT(T.track_id) AS number_of_tracks FROM Track T, Artist Ar, Performs P WHERE T.track_id = P.track_id AND P.artist_id = Ar.artist_id GROUP BY Ar.name HAVING COUNT(T.track_id) >= 3 ORDER BY number_of_tracks DESC;",0.5,0.25,-0.25
