Question,Original 0.0,Original 0.5,Original 0.6,Original 1.0,Final 0.0,Final 0.142857,Final 0.285714,Final 1.0,Original 0.8,Final 0.714286,Final 0.857143,Original 0.3,Final 0.571429,File,Final 0.166667,Final 0.333333,Final 0.666667,Final 0.833333,Final 0.111111,Final 0.777778,Final 0.888889,Final 0.222222,Final 0.25,Final 0.75,Final 0.428571,Final 0.5,Final 0,Final 1,Final 0.2,Final 0.6,Final 0.8,Final 0.4,Final 0.125,Final 0.625,Final 0.875,Final 0.375,Final 0.0833333,Final 0.416667,Final 0.916667
Total,890.0,84.0,2.0,902.0,195.0,32.0,768.0,900.0,122.0,106.0,5.0,7.0,1.0,summary_score_frequencies__3_2_2.csv,,,,,,,,,,,,,,,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,195.0,,,253.0,122.0,,,7.0,,summary_score_frequencies__3_3_0.csv,34.0,1335.0,186.0,4.0,,,,,,,,,,,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,225.0,,,900.0,122.0,,,7.0,,summary_score_frequencies__2_2_3.csv,,114.0,1.0,,654.0,106.0,5.0,2.0,,,,,,,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,887.0,,,900.0,122.0,,,7.0,,summary_score_frequencies__0_2_3.csv,,,,,,,,,114.0,106.0,,,,,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,230.0,,,866.0,122.0,,,7.0,,summary_score_frequencies__2_0_2.csv,,908.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,887.0,,,900.0,122.0,,,7.0,,summary_score_frequencies__0_3_3.csv,,114.0,106.0,,,,,,,,,,,,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,225.0,654.0,2.0,900.0,122.0,106.0,5.0,7.0,1.0,summary_score_frequencies__2_3_3.csv,,,,,,,,,,,114.0,,,,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,189.0,,,1526.0,122.0,,,7.0,,summary_score_frequencies__3_0_0.csv,,,,,,,,,,,,38.0,6.0,248.0,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,229.0,,,253.0,122.0,,,7.0,,summary_score_frequencies__2_3_0.csv,,,,,,,,,,,,,,,1335.0,186.0,4.0,,,,,,,,
Total,890.0,84.0,2.0,902.0,,,,,122.0,,,7.0,,summary_score_frequencies__0_0_2.csv,,,,,,,,,,,,,1141.0,866.0,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,195.0,,,866.0,122.0,,,7.0,,summary_score_frequencies__3_0_2.csv,,,,,,,,,,,,,,,35.0,,3.0,908.0,,,,,,,
Total,890.0,84.0,2.0,902.0,575.0,,,253.0,122.0,,,7.0,,summary_score_frequencies__0_3_0.csv,,,,,,,,,,,,186.0,993.0,,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,332.0,,,830.0,122.0,,,7.0,,summary_score_frequencies__0_3_2.csv,,,,,,,,,,,,106.0,669.0,70.0,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,227.0,,,900.0,122.0,,,7.0,,summary_score_frequencies__2_3_2.csv,,,,,,,,,,,,,,,768.0,106.0,5.0,1.0,,,,,,,
Total,890.0,84.0,2.0,902.0,229.0,,,253.0,122.0,,,7.0,,summary_score_frequencies__2_2_0.csv,,1521.0,4.0,,,,,,,,,,,,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,195.0,,,866.0,122.0,,,7.0,,summary_score_frequencies__3_0_3.csv,,,,,,,,,793.0,,,3.0,,,,,,,32.0,115.0,3.0,,,,
Total,890.0,84.0,2.0,902.0,227.0,,,900.0,122.0,,,7.0,,summary_score_frequencies__2_2_2.csv,,,,,,,,,,,,,,,768.0,106.0,5.0,1.0,,,,,,,
Total,890.0,84.0,2.0,902.0,,,,,122.0,,,7.0,,summary_score_frequencies__0_0_0.csv,,,,,,,,,,,,,2007.0,,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,227.0,,,866.0,122.0,,,7.0,,summary_score_frequencies__2_0_3.csv,,,,,,,,,,,,,,,793.0,115.0,3.0,3.0,,,,,,,
Total,890.0,84.0,2.0,902.0,195.0,,,900.0,122.0,,,7.0,,summary_score_frequencies__3_3_3.csv,,,,,,,,,654.0,106.0,,114.0,,,,,,,30.0,1.0,5.0,2.0,,,
Total,890.0,84.0,2.0,902.0,195.0,,,253.0,122.0,,,7.0,,summary_score_frequencies__3_2_0.csv,,,,,,,,,34.0,4.0,,1521.0,,,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,882.0,,,758.0,122.0,,,7.0,,summary_score_frequencies__0_0_3.csv,,,,,,,,,,,,115.0,144.0,108.0,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,,,,,122.0,,,7.0,,summary_score_frequencies__0_2_0.csv,,,,,,,,,,,,,1754.0,253.0,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,,,,,122.0,,,7.0,,summary_score_frequencies__2_0_0.csv,,,,,,,,,,,,,233.0,1774.0,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,195.0,,,900.0,122.0,,,7.0,,summary_score_frequencies__3_3_2.csv,32.0,768.0,106.0,5.0,,,,,,,,1.0,,,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,332.0,,,830.0,122.0,,,7.0,,summary_score_frequencies__0_2_2.csv,,,,,,,,,,,,106.0,669.0,70.0,,,,,,,,,,,
Total,890.0,84.0,2.0,902.0,195.0,,,900.0,122.0,,,7.0,,summary_score_frequencies__3_2_3.csv,654.0,2.0,,106.0,,,,,,1.0,,,,,,,,,,,,,30.0,114.0,5.0
